O,-8.67,21.33,7.33,9.07,18.47,9.87,23.47,-1.93,9.13,0,0,0,0,0,0,0,0.51833,-0.11145,-0.35602,-0.66633
P,-8.44,20.75,6.94,10.19,21.44,14.19,26.5,-3,9.19,0,0,0,0,0,0,0,0.52086,-0.13049,-0.35624,-0.66348
Q,-8.35,20.29,6.59,11.12,24,17.94,29.47,-4.06,9.12,0,0,0,0,0,0,0,0.52312,-0.14727,-0.35641,-0.66096
D,-8,19.47,6,12.84,28.32,24.11,33.58,-5.58,9,0,0,0,0,0,0,0,0.52704,-0.17528,-0.3569,-0.65668
E,-8,19.15,5.75,13.45,30.25,26.7,35.45,-6.35,8.65,0,0,0,0,0,0,0,0.52863,-0.18738,-0.357,-0.65487
F,-7.82,18.55,5.27,14.91,33.41,31.09,38.5,-7.73,8.82,0,0,0,0,0,0,0,0.5315,-0.20801,-0.35737,-0.65168
G,-7.82,18.55,5.27,14.91,33.41,31.09,38.5,-7.73,8.82,0,0,0,0,0,0,0,0.5315,-0.20801,-0.35737,-0.65168
H,-7.7,18.35,5.09,15.57,34.78,33,39.78,-8.22,8.78,0,0,0,0,0,0,0,0.53276,-0.21699,-0.35754,-0.65027
I,63,55.33,56,53.67,54.67,45,-1.67,48.67,-3.67,0,0,0,0,0,0,0,0.20007,-0.12807,-0.09297,-0.2146
K,63,55.33,56,53.67,54.67,45,-1.67,48.67,-3.67,0,0,0,0,0,0,0,0.20007,-0.12807,-0.09297,-0.2146
L,71.5,61.25,62.5,59.75,60.75,50.5,-2,52,-4,0,0,1,0,0,0,0,0.30025,-0.19183,-0.1396,-0.32183
M,76.2,64.8,66.2,62.8,64.6,53.2,-2,54.6,-3.6,0,0,1,0,0,0,0,0.3603,-0.23038,-0.16742,-0.38612
N,79.33,67.17,68.83,65,67,54.67,-1.83,56.33,-3.67,0,0,1,0,0,0,0,0.40023,-0.25643,-0.18572,-0.42897
O,81.57,68.29,70.71,66.71,68.71,56.29,-1.86,56.43,-4,0,0,1,0,0,0,0,0.42877,-0.27506,-0.19881,-0.45954
P,83.5,69.75,72.13,67.88,70,57.5,-1.88,56.75,-4.13,0,0,1,0,0,0,0,0.4502,-0.28905,-0.20868,-0.48241
Q,84.78,71,73.22,68.78,71,58.56,-2.22,57.78,-4.11,0,0,1,0,0,0,0,0.46681,-0.30019,-0.2163,-0.50012
